feature,importance
AMT_REQ_CREDIT_BUREAU_HOUR,0
BURO_CREDIT_ACTIVE_Bad debt_MEAN,0
BURO_CREDIT_ACTIVE_nan_MEAN,0
BURO_CREDIT_CURRENCY_currency 4_MEAN,0
BURO_CREDIT_TYPE_Another type of loan_MEAN,0
BURO_CREDIT_TYPE_Cash loan (non-earmarked)_MEAN,0
BURO_CREDIT_TYPE_Interbank credit_MEAN,0
BURO_CREDIT_TYPE_Loan for purchase of shares (margin lending)_MEAN,0
BURO_CREDIT_TYPE_Mobile operator loan_MEAN,0
BURO_CREDIT_TYPE_Real estate loan_MEAN,0
BURO_CREDIT_TYPE_Unknown type of loan_MEAN,0
BURO_CREDIT_TYPE_nan_MEAN,0
CC_CNT_DRAWINGS_OTHER_CURRENT_MAX,0
CC_CNT_DRAWINGS_OTHER_CURRENT_SUM,0
CC_NAME_CONTRACT_STATUS_Active_MAX,0
CC_NAME_CONTRACT_STATUS_Approved_MAX,0
CC_NAME_CONTRACT_STATUS_Approved_MEAN,0
CC_NAME_CONTRACT_STATUS_Approved_SUM,0
CC_NAME_CONTRACT_STATUS_Approved_VAR,0
CC_NAME_CONTRACT_STATUS_Demand_MAX,0
CC_NAME_CONTRACT_STATUS_Demand_MEAN,0
CC_NAME_CONTRACT_STATUS_Demand_SUM,0
CC_NAME_CONTRACT_STATUS_Demand_VAR,0
CC_NAME_CONTRACT_STATUS_Refused_MAX,0
CC_NAME_CONTRACT_STATUS_Refused_MEAN,0
CC_NAME_CONTRACT_STATUS_Refused_SUM,0
CC_NAME_CONTRACT_STATUS_Refused_VAR,0
CC_NAME_CONTRACT_STATUS_Sent proposal_MAX,0
CC_NAME_CONTRACT_STATUS_Sent proposal_MEAN,0
CC_NAME_CONTRACT_STATUS_Sent proposal_SUM,0
CC_NAME_CONTRACT_STATUS_Sent proposal_VAR,0
CC_NAME_CONTRACT_STATUS_Signed_SUM,0
CC_NAME_CONTRACT_STATUS_nan_MAX,0
CC_NAME_CONTRACT_STATUS_nan_MEAN,0
CC_NAME_CONTRACT_STATUS_nan_SUM,0
CC_NAME_CONTRACT_STATUS_nan_VAR,0
EMERGENCYSTATE_MODE_Yes,0
FLAG_CONT_MOBILE,0
FLAG_DOCUMENT_10,0
FLAG_DOCUMENT_11,0
FLAG_DOCUMENT_12,0
FLAG_DOCUMENT_13,0
FLAG_DOCUMENT_14,0
FLAG_DOCUMENT_15,0
FLAG_DOCUMENT_17,0
FLAG_DOCUMENT_19,0
FLAG_DOCUMENT_2,0
FLAG_DOCUMENT_20,0
FLAG_DOCUMENT_21,0
FLAG_DOCUMENT_4,0
FLAG_DOCUMENT_5,0
FLAG_DOCUMENT_7,0
FLAG_DOCUMENT_9,0
FLAG_MOBIL,0
FONDKAPREMONT_MODE_not specified,0
HOUSETYPE_MODE_specific housing,0
HOUSETYPE_MODE_terraced house,0
NAME_EDUCATION_TYPE_Academic degree,0
NAME_FAMILY_STATUS_Unknown,0
NAME_HOUSING_TYPE_Co-op apartment,0
NAME_INCOME_TYPE_Businessman,0
NAME_INCOME_TYPE_Maternity leave,0
NAME_INCOME_TYPE_Student,0
NAME_INCOME_TYPE_Unemployed,0
NAME_TYPE_SUITE_Group of people,0
NAME_TYPE_SUITE_Other_A,0
OCCUPATION_TYPE_Cleaning staff,0
OCCUPATION_TYPE_HR staff,0
OCCUPATION_TYPE_IT staff,0
OCCUPATION_TYPE_Private service staff,0
OCCUPATION_TYPE_Realty agents,0
OCCUPATION_TYPE_Secretaries,0
OCCUPATION_TYPE_Security staff,0
OCCUPATION_TYPE_Waiters/barmen staff,0
ORGANIZATION_TYPE_Advertising,0
ORGANIZATION_TYPE_Agriculture,0
ORGANIZATION_TYPE_Cleaning,0
ORGANIZATION_TYPE_Culture,0
ORGANIZATION_TYPE_Electricity,0
ORGANIZATION_TYPE_Emergency,0
ORGANIZATION_TYPE_Hotel,0
ORGANIZATION_TYPE_Housing,0
ORGANIZATION_TYPE_Industry: type 1,0
ORGANIZATION_TYPE_Industry: type 10,0
ORGANIZATION_TYPE_Industry: type 11,0
ORGANIZATION_TYPE_Industry: type 12,0
ORGANIZATION_TYPE_Industry: type 13,0
ORGANIZATION_TYPE_Industry: type 2,0
ORGANIZATION_TYPE_Industry: type 4,0
ORGANIZATION_TYPE_Industry: type 5,0
ORGANIZATION_TYPE_Industry: type 6,0
ORGANIZATION_TYPE_Industry: type 7,0
ORGANIZATION_TYPE_Industry: type 8,0
ORGANIZATION_TYPE_Insurance,0
ORGANIZATION_TYPE_Legal Services,0
ORGANIZATION_TYPE_Mobile,0
ORGANIZATION_TYPE_Postal,0
ORGANIZATION_TYPE_Realtor,0
ORGANIZATION_TYPE_Religion,0
ORGANIZATION_TYPE_Security,0
ORGANIZATION_TYPE_Services,0
ORGANIZATION_TYPE_Telecom,0
ORGANIZATION_TYPE_Trade: type 1,0
ORGANIZATION_TYPE_Trade: type 2,0
ORGANIZATION_TYPE_Trade: type 4,0
ORGANIZATION_TYPE_Trade: type 5,0
ORGANIZATION_TYPE_Trade: type 6,0
ORGANIZATION_TYPE_Transport: type 1,0
ORGANIZATION_TYPE_Transport: type 2,0
ORGANIZATION_TYPE_Transport: type 3,0
ORGANIZATION_TYPE_Transport: type 4,0
ORGANIZATION_TYPE_University,0
POS_NAME_CONTRACT_STATUS_Amortized debt_MEAN,0
POS_NAME_CONTRACT_STATUS_Canceled_MEAN,0
POS_NAME_CONTRACT_STATUS_Demand_MEAN,0
POS_NAME_CONTRACT_STATUS_XNA_MEAN,0
POS_NAME_CONTRACT_STATUS_nan_MEAN,0
PREV_CHANNEL_TYPE_Car dealer_MEAN,0
PREV_CHANNEL_TYPE_nan_MEAN,0
PREV_CODE_REJECT_REASON_SYSTEM_MEAN,0
PREV_CODE_REJECT_REASON_XNA_MEAN,0
PREV_CODE_REJECT_REASON_nan_MEAN,0
PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,0
PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,0
PREV_FLAG_LAST_APPL_PER_CONTRACT_nan_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Building a house or an annex_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Business development_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Buying a garage_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Buying a holiday home / land_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Buying a home_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Buying a new car_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Buying a used car_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Car repairs_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Everyday expenses_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Furniture_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Gasification / water supply_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Hobby_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Money for a third person_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Payments on other loans_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Purchase of electronic equipment_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Refusal to name the goal_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_Wedding / gift / holiday_MEAN,0
PREV_NAME_CASH_LOAN_PURPOSE_nan_MEAN,0
PREV_NAME_CLIENT_TYPE_XNA_MEAN,0
PREV_NAME_CLIENT_TYPE_nan_MEAN,0
PREV_NAME_CONTRACT_STATUS_nan_MEAN,0
PREV_NAME_CONTRACT_TYPE_XNA_MEAN,0
PREV_NAME_CONTRACT_TYPE_nan_MEAN,0
PREV_NAME_GOODS_CATEGORY_Additional Service_MEAN,0
PREV_NAME_GOODS_CATEGORY_Animals_MEAN,0
PREV_NAME_GOODS_CATEGORY_Direct Sales_MEAN,0
PREV_NAME_GOODS_CATEGORY_Education_MEAN,0
PREV_NAME_GOODS_CATEGORY_Fitness_MEAN,0
PREV_NAME_GOODS_CATEGORY_House Construction_MEAN,0
PREV_NAME_GOODS_CATEGORY_Insurance_MEAN,0
PREV_NAME_GOODS_CATEGORY_Medical Supplies_MEAN,0
PREV_NAME_GOODS_CATEGORY_Medicine_MEAN,0
PREV_NAME_GOODS_CATEGORY_Office Appliances_MEAN,0
PREV_NAME_GOODS_CATEGORY_Other_MEAN,0
PREV_NAME_GOODS_CATEGORY_Tourism_MEAN,0
PREV_NAME_GOODS_CATEGORY_Weapon_MEAN,0
PREV_NAME_GOODS_CATEGORY_nan_MEAN,0
PREV_NAME_PAYMENT_TYPE_Cashless from the account of the employer_MEAN,0
PREV_NAME_PAYMENT_TYPE_Non-cash from your account_MEAN,0
PREV_NAME_PAYMENT_TYPE_nan_MEAN,0
PREV_NAME_PORTFOLIO_Cars_MEAN,0
PREV_NAME_PORTFOLIO_nan_MEAN,0
PREV_NAME_PRODUCT_TYPE_nan_MEAN,0
PREV_NAME_SELLER_INDUSTRY_MLM partners_MEAN,0
PREV_NAME_SELLER_INDUSTRY_Tourism_MEAN,0
PREV_NAME_SELLER_INDUSTRY_nan_MEAN,0
PREV_NAME_TYPE_SUITE_Group of people_MEAN,0
PREV_NAME_YIELD_GROUP_nan_MEAN,0
PREV_PRODUCT_COMBINATION_POS others without interest_MEAN,0
PREV_PRODUCT_COMBINATION_nan_MEAN,0
PREV_WEEKDAY_APPR_PROCESS_START_nan_MEAN,0
WALLSMATERIAL_MODE_Block,0
WALLSMATERIAL_MODE_Mixed,0
WALLSMATERIAL_MODE_Monolithic,0
WALLSMATERIAL_MODE_Wooden,0
BURO_CREDIT_CURRENCY_nan_MEAN,0
BURO_CREDIT_TYPE_Loan for the purchase of equipment_MEAN,0
NAME_EDUCATION_TYPE_Incomplete higher,0
